synset_id,synset_name,definition
n02487347,macaque,short-tailed monkey of rocky regions of Asia and Africa
n02488291,langur,slender long-tailed monkey of Asia
n02488702,colobus,arboreal monkey of western and central Africa with long silky fur and reduced thumbs
n02489166,proboscis_monkey,Borneo monkey having a long bulbous nose
n02490219,marmoset,small soft-furred South American and Central American monkey with claws instead of nails
n02492035,capuchin,monkey of Central America and South America having thick hair on the head that resembles a monk's cowl
n02492660,howler_monkey,monkey of tropical South American forests having a loud howling cry
n02493509,titi,small South American monkeys with long beautiful fur and long nonprehensile tail
n02493793,spider_monkey,arboreal monkey of tropical America with long slender legs and long prehensile tail
n02494079,squirrel_monkey,small long-tailed monkey of Central American and South America with greenish fur and black muzzle
n02497673,madagascar_cat,small lemur having its tail barred with black
n02500267,indri,large short-tailed lemur of Madagascar having thick silky fur in black and white and fawn
n02504013,indian_elephant,Asian elephant having smaller ears and tusks primarily in the male
n02504458,african_elephant,an elephant native to Africa having enormous flapping ears and ivory tusks
n02509815,lesser_panda,reddish-brown Old World raccoon-like carnivore; in some classifications considered unrelated to the giant pandas
n02510455,giant_panda,large black-and-white herbivorous mammal of bamboo forests of China and Tibet; in some classifications considered a member of the bear family or of a separate family Ailuropodidae
n02514041,barracouta,"a large marine food fish common on the coasts of Australia, New Zealand, and southern Africa"
n02526121,eel,voracious snakelike marine or freshwater fishes with smooth slimy usually scaleless skin and having a continuous vertical fin but no ventral fins
n02536864,coho,small salmon of northern Pacific coasts and the Great Lakes
n02606052,rock_beauty,gold and black butterflyfish found from West Indies to Brazil
n02607072,anemone_fish,live associated with sea anemones
n02640242,sturgeon,large primitive fishes valued for their flesh and roe; widely distributed in the North Temperate Zone
n02641379,gar,primitive predaceous North American fish covered with hard scales and having long jaws with needlelike teeth
n02643566,lionfish,brightly striped fish of the tropical Pacific having elongated spiny fins
n02655020,puffer,any of numerous marine fishes whose elongated spiny body can inflate itself with water or air to form a globe; several species contain a potent nerve poison; closely related to spiny puffers
n02666196,abacus,a calculator that performs arithmetic functions by manually sliding counters on rods or in grooves
n02667093,abaya,(Arabic) a loose black robe from head to toe; traditionally worn by Muslim women
n02669723,academic_gown,a gown worn by academics or judges
n02672831,accordion,a portable box-shaped free-reed instrument; the reeds are made to vibrate by air from the bellows controlled by the player
n02676566,acoustic_guitar,sound is not amplified by electrical means
n02687172,aircraft_carrier,a large warship that carries planes and has a long flat deck for takeoffs and landings
n02690373,airliner,a commercial airplane that carries passengers
n02692877,airship,a steerable self-propelled aircraft
n02699494,altar,a raised structure on which gifts or sacrifices to a god are made
n02701002,ambulance,a vehicle that takes people to and from hospitals
n02704792,amphibian,a flat-bottomed motor vehicle that can travel on land or water
n02708093,analog_clock,a clock that displays the time of day by the position of hands on a dial
n02727426,apiary,a shed containing a number of beehives
n02730930,apron,a garment of cloth or leather or plastic that is tied about the waist and worn to protect your clothing
n02747177,ashcan,a bin that holds rubbish until it is collected
n02749479,assault_rifle,any of the automatic rifles or semiautomatic rifles with large magazines designed for military use
n02769748,backpack,a bag carried by a strap on your back or shoulder
n02776631,bakery,a workplace where baked goods (breads and cakes and pastries) are produced or sold
n02777292,balance_beam,a gymnastic apparatus used by women gymnasts
n02782093,balloon,large tough nonrigid bag filled with gas or heated air
n02783161,ballpoint,a pen that has a small metal ball as the point of transfer of ink to paper
n02786058,band_aid,trade name for an adhesive bandage to cover small cuts or blisters
n02787622,banjo,a stringed instrument of the guitar family that has long neck and circular body
n02788148,bannister,a railing at the side of a staircase or balcony to prevent people from falling
n02790996,barbell,a bar to which heavy discs are attached at each end; used in weightlifting
n02791124,barber_chair,a large fixed adjustable chair in which barbers seat their customers
n02791270,barbershop,a shop where men can get their hair cut
n02793495,barn,an outlying farm building for storing grain or animal feed and housing farm animals
n02794156,barometer,an instrument that measures atmospheric pressure
n02795169,barrel,a cylindrical container that holds liquids
n02797295,barrow,a cart for carrying small loads; has handles and one or more wheels
n02799071,baseball,a ball used in playing baseball
n02802426,basketball,an inflated ball used in playing basketball
n02804414,bassinet,a basket (usually hooded) used as a baby's bed
n02804610,bassoon,a double-reed instrument; the tenor of the oboe family
n02807133,bathing_cap,a tight-fitting cap that keeps hair dry while swimming
n02808304,bath_towel,a large towel; to dry yourself after a bath
n02808440,bathtub,a relatively large open container that you fill with water and use to wash the body
n02814533,beach_wagon,a car that has a long body and rear door with space behind rear seat
n02814860,beacon,a tower with a light that gives warning of shoals to passing ships
n02815834,beaker,a flatbottomed jar made of glass or plastic; used for chemistry
n02817516,bearskin,tall hat; worn by some British soldiers on ceremonial occasions
n02823428,beer_bottle,a bottle that holds beer
n02823750,beer_glass,a relatively large glass for serving beer
n02825657,bell_cote,a small shelter for bells; has a gable or shed roof
n02834397,bib,top part of an apron; covering the chest
n02835271,bicycle-built-for-two,a bicycle with two sets of pedals and two seats
n02837789,bikini,a woman's very brief bathing suit
n02840245,binder,holds loose papers or magazines
n02841315,binoculars,an optical instrument designed for simultaneous use by both eyes
n02843684,birdhouse,a shelter for birds
n02859443,boathouse,a shed at the edge of a river or lake; used to store boats
n02860847,bobsled,a long racing sled (for 2 or more people) with a steering mechanism
n02865351,bolo_tie,a cord fastened around the neck with an ornamental clasp and worn as a necktie
n02869837,bonnet,a hat tied under the chin
n02870880,bookcase,a piece of furniture with shelves for storing books
n02871525,bookshop,a shop where books are sold
n02877765,bottlecap,a cap that seals a bottle
n02879718,bow,"a weapon for shooting arrows, composed of a curved piece of resilient wood with a taut cord to propel the arrow"
n02883205,bow_tie,a man's tie that ties in a bow
n02892201,brass,a memorial made of brass
n02892767,brassiere,an undergarment worn by women to support their breasts
n02894605,breakwater,a protective structure of stone or concrete; extends from shore into the water to prevent a beach from washing away
n02895154,breastplate,armor plate that protects the chest; the front part of a cuirass
n02906734,broom,a cleaning implement for sweeping; bundle of straws or twigs attached to a long handle
n02909870,bucket,a roughly cylindrical vessel that is open at the top
n02910353,buckle,fastener that fastens together two ends of a belt or strap; often has loose prong
n02916936,bulletproof_vest,a vest capable of resisting the impact of a bullet
n02917067,bullet_train,a high-speed passenger train
n02927161,butcher_shop,a shop in which meat and poultry (and sometimes fish) are sold
n02930766,cab,a car driven by a person whose job is to take passengers where they want to go in exchange for money
n02939185,caldron,a very large pot that is used for boiling
n02948072,candle,stick of wax with a wick in the middle
n02950826,cannon,heavy gun fired from a tank
n02951358,canoe,small and light boat; pointed at both ends; propelled with a paddle
n02951585,can_opener,a device for cutting cans open
n02963159,cardigan,knitted jacket that is fastened up the front with buttons or a zipper
n02965783,car_mirror,a mirror that the driver of a car can use
n02966193,carousel,"a large, rotating machine with seats for children to ride or amusement"
n02966687,carpenter's_kit,a set of carpenter's tools
n02971356,carton,a box made of cardboard; opens by flaps on top
n02974003,car_wheel,a wheel that has a tire and rim and hubcap; used to propel the car
n02977058,cash_machine,an unattended machine (outside some banks) that dispenses money when a personal coded card is used
n02978881,cassette,a container that holds a magnetic tape used for recording or playing sound or video
n02979186,cassette_player,electronic equipment for playing cassettes
n02980441,castle,a large building formerly occupied by a ruler and fortified against attack
n02981792,catamaran,a sailboat with two parallel hulls held together by single deck
n02988304,cd_player,a stand-alone piece of electronic equipment that either has its own display or attaches to a television set
n02992211,cello,a large stringed instrument; seated player holds it upright while playing
n02992529,cellular_telephone,"a hand-held mobile radiotelephone for use in an area divided into small sections, each with its own short-range transmitter/receiver"
n02999410,chain,a series of (usually metal) rings or links fitted into one another to make a flexible ligament
n03000134,chainlink_fence,a fence of steel wires woven into a diamond pattern
n03000247,chain_mail,(Middle Ages) flexible armor made of interlinked metal rings
n03000684,chain_saw,portable power saw; teeth linked to form an endless chain
n03014705,chest,box with a lid; used for storage; usually large and sturdy
n03016953,chiffonier,a tall elegant chest of drawers
n03017168,chime,a percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
n03018349,china_cabinet,a cabinet (usually with glass doors) for storing and displaying china
n03026506,christmas_stocking,a stocking that is filled with small Christmas presents
n03028079,church,a place for public (especially Christian) worship
n03032252,cinema,a theater where films are shown
n03041632,cleaver,a butcher's knife having a large square blade
n03042490,cliff_dwelling,a rock and adobe dwelling built on sheltered ledges in the sides of a cliff
n03045698,cloak,anything that covers or conceals
n03047690,clog,footwear usually with wooden soles
n03062245,cocktail_shaker,a shaker for mixing cocktails
n03063599,coffee_mug,a mug intended for serving coffee
n03063689,coffeepot,tall pot in which coffee is brewed
n03065424,coil,a structure consisting of something wound in a continuous series of loops
n03075370,combination_lock,lock that can be opened only by turning dials in a special sequence
n03085013,computer_keyboard,a keyboard that is a data input device for computers; arrangement of keys is modelled after the typewriter keyboard
n03089624,confectionery,a confectioner's shop
n03095699,container_ship,a cargo ship designed to hold containerized cargoes
n03100240,convertible,a car that has top that can be folded or removed
n03109150,corkscrew,a bottle opener that pulls corks
n03110669,cornet,a brass musical instrument with a brilliant tone; has a narrow tube and a flared bell and is played by means of valves
n03124043,cowboy_boot,a boot with a high arch and fancy stitching; worn by American cowboys
n03124170,cowboy_hat,a hat with a wide brim and a soft crown; worn by American ranch hands
n03125729,cradle,a baby bed with sides and rockers
n03126707,crane,lifts and moves heavy objects; lifting tackle is suspended from a pivoted boom that rotates around a vertical axis
n03127747,crash_helmet,a padded helmet worn by people riding bicycles or motorcycles; protects the head in case of accidents
n03127925,crate,a rugged box (usually made of wood); used for shipping
n03131574,crib,baby bed with high sides made of slats
n03133878,crock_pot,an electric cooker that maintains a relatively low temperature
n03134739,croquet_ball,a wooden ball used in playing croquet
n03141823,crutch,a wooden or metal staff that fits under the armpit and reaches to the ground; used by disabled person while walking
n03146219,cuirass,medieval body armor that covers the chest and back
n03160309,dam,a barrier constructed to contain the flow of water or to keep out the sea
n03179701,desk,a piece of furniture with a writing surface and usually drawers or other compartments
n03180011,desktop_computer,a personal computer small enough to fit conveniently in an individual workspace
n03187595,dial_telephone,a telephone with a dial for registering the number to be called
n03188531,diaper,garment consisting of a folded cloth drawn up between the legs and fastened at the waist; worn by infants to catch excrement
n03196217,digital_clock,a clock that displays the time of day digitally
n03197337,digital_watch,a watch with a digital display
n03201208,dining_table,a table at which meals are served
n03207743,dishrag,a cloth for washing dishes
n03207941,dishwasher,a machine for washing dishes
n03208938,disk_brake,hydraulic brake in which friction is applied to both sides of a spinning disk by the brake pads
n03216828,dock,landing in a harbor next to a pier where ships are loaded and unloaded or repaired; may have gates to let water in or out
n03218198,dogsled,a sled pulled by dogs
n03220513,dome,a hemispherical roof
n03223299,doormat,a mat placed outside an exterior door for wiping the shoes before entering
n03240683,drilling_platform,drilling rig consisting of an offshore platform (floating or fixed to the sea bed) from which many oil wells can be bored radially
n03249569,drum,a musical percussion instrument; usually consists of a hollow cylinder with a membrane stretched across each end
n03250847,drumstick,a stick used for playing a drum
n03255030,dumbbell,an exercising weight; two spheres connected by a short bar that serves as a handle
n03259280,dutch_oven,an oven consisting of a metal box for cooking in front of a fire
n03271574,electric_fan,a fan run by an electric motor
n03272010,electric_guitar,a guitar whose sound is amplified by electrical means
n03272562,electric_locomotive,a locomotive that is powered by an electric motor
n03290653,entertainment_center,a wall unit containing sound and television systems
n03291819,envelope,"a flat (usually rectangular) container for a letter, thin package, etc."
n03297495,espresso_maker,a coffee maker that forces live steam under pressure through dark roasted coffee grounds
n03314780,face_powder,cosmetic powder for the face
n03325584,feather_boa,a long thin fluffy scarf of feathers or fur
n03337140,file,office furniture consisting of a container for keeping papers in order
n03344393,fireboat,a boat equipped to fight fires on ships or along a waterfront
n03345487,fire_engine,any of various large trucks that carry firemen and equipment to the site of a fire
n03347037,fire_screen,a metal screen before an open fire for protection (especially against flying sparks)
n03355925,flagpole,a tall staff or pole on which a flag is raised
n03372029,flute,a high-pitched woodwind instrument; a slender tube closed at one end with finger holes on one end and an opening near the closed end across which the breath is blown
n03376595,folding_chair,a chair that can be folded flat for storage
n03379051,football_helmet,a padded helmet with a face mask to protect the head of football players
n03384352,forklift,a small industrial vehicle with a power operated forked platform in front that can be inserted under loads to lift and move them
n03388043,fountain,a structure from which an artificially produced jet of water arises
n03388183,fountain_pen,a pen that is supplied with ink from a reservoir in its barrel
n03388549,four-poster,a bed with posts at the four corners that can be used to support a canopy or curtains
n03393912,freight_car,a railway car that carries freight
n03394916,french_horn,a brass musical instrument consisting of a conical tube that is coiled into a spiral and played by means of valves
n03400231,frying_pan,a pan used for frying foods
n03404251,fur_coat,a coat made of fur
n03417042,garbage_truck,a truck for collecting domestic refuse
n03424325,gasmask,a protective mask with a filter; protects the face and lungs against poisonous gases
n03425413,gas_pump,a pump in a service station that draws gasoline from underground storage tanks
n03443371,goblet,a drinking glass with a base and stem
n03444034,go-kart,a small low motor vehicle with four wheels and an open framework; used for racing
n03445777,golf_ball,a small hard ball used in playing golf; dimpled to reduce wind resistance
n03445924,golfcart,a small motor vehicle in which golfers can ride between shots
n03447447,gondola,long narrow flat-bottomed boat propelled by sculling; traditionally used on canals of Venice
n03447721,gong,a percussion instrument consisting of a metal plate that is struck with a softheaded drumstick
n03450230,gown,"a woman's dress, usually with a close-fitting bodice and a long flared skirt, often worn on formal occasions"
n03452741,grand_piano,a piano with the strings on a horizontal harp-shaped frame; usually supported by three legs
n03457902,greenhouse,a building with glass walls and roof; for the cultivation and exhibition of plants under controlled conditions
n03459775,grille,grating that admits cooling air to car's radiator
n03461385,grocery_store,a marketplace where groceries are sold
n03467068,guillotine,instrument of execution that consists of a weighted blade between two vertical poles; used for beheading people
n03476684,hair_slide,a decorative hinged clip that girls and women put in their hair to hold it in place
n03476991,hair_spray,toiletry consisting of a commercial preparation that is sprayed on the hair to hold it in place
n03478589,half_track,a motor vehicle propelled by half tracks; frequently used by the military
n03481172,hammer,a hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking
n03482405,hamper,a basket usually with a cover
n03483316,hand_blower,a hand-held electric blower that can blow warm air onto the hair; used for styling hair
n03485407,hand-held_computer,a portable battery-powered computer small enough to be carried in your pocket
n03485794,handkerchief,a square piece of cloth used for wiping the eyes or nose or as a costume accessory
n03492542,hard_disc,a rigid magnetic disk mounted permanently in a drive unit
n03494278,harmonica,a small rectangular free-reed instrument having a row of free reeds set back in air holes and played by blowing into the desired hole
n03495258,harp,a chordophone that has a triangular frame consisting of a sounding board and a pillar and a curved neck; the strings stretched between the neck and the soundbox are plucked with the fingers
n03496892,harvester,farm machine that gathers a food crop from the fields
n03498962,hatchet,a small ax with a short handle used with one hand (usually to chop wood)
n03527444,holster,a sheath (usually leather) for carrying a handgun
n03529860,home_theater,television and video equipment designed to reproduce in the home the experience of being in a movie theater
n03530642,honeycomb,a framework of hexagonal cells resembling the honeycomb built by bees
n03532672,hook,a mechanical device that is curved or bent to suspend or hold or pull something
n03534580,hoopskirt,a skirt stiffened with hoops
n03535780,horizontal_bar,gymnastic apparatus consisting of a bar supported in a horizontal position by uprights at both ends
n03538406,horse_cart,heavy cart; drawn by a horse; used for farm work
n03544143,hourglass,a sandglass that runs for sixty minutes
n03584254,ipod,(trademark) a pocket-sized device used to play music files
n03584829,iron,home appliance consisting of a flat metal base that is heated and used to smooth cloth
n03590841,jack-o'-lantern,lantern carved from a pumpkin
n03594734,jean,(usually plural) close-fitting trousers of heavy denim for manual work or casual wear
n03594945,jeep,a car suitable for traveling over rough terrain
n03595614,jersey,a close-fitting pullover shirt
n03598930,jigsaw_puzzle,a puzzle that requires you to reassemble a picture that has been mounted on a stiff base and cut into interlocking pieces
n03599486,jinrikisha,a small two-wheeled cart for one passenger; pulled by one person
n03602883,joystick,a manual control consisting of a vertical handle that can move freely in two directions; used as an input device to computers or to devices controlled by computers
n03617480,kimono,a loose robe; imitated from robes originally worn by Japanese
n03623198,knee_pad,protective garment consisting of a pad worn by football or baseball or hockey players
n03627232,knot,any of various fastenings formed by looping and tying a rope (or cord) upon itself or to another rope or to another object
n03630383,lab_coat,a light coat worn to protect clothing from substances used while working in a laboratory
n03633091,ladle,a spoon-shaped vessel with a long handle; frequently used to transfer liquids from one container to another
n03637318,lampshade,a protective ornamental shade used to screen a light bulb from direct view
n03642806,laptop,a portable computer small enough to use in your lap
n03649909,lawn_mower,garden tool for mowing grass on lawns
n03657121,lens_cap,cap used to keep lens free of dust when not in use
n03658185,letter_opener,dull knife used to cut open the envelopes in which letters are mailed or to slit uncut pages of books
n03661043,library,a building that houses a collection of books and other materials
n03662601,lifeboat,a strong sea boat designed to rescue people from a sinking ship
n03666591,lighter,a device for lighting or igniting fuel or charges or fires
n03670208,limousine,large luxurious car; usually driven by a chauffeur
n03673027,liner,a large commercial ship (especially one that carries passengers on a regular schedule)
n03676483,lipstick,makeup that is used to color the lips
n03680355,loafer,a low leather step-in shoe; the top resembles a moccasin but it has a broad flat heel
n03690938,lotion,any of various cosmetic preparations that are applied to the skin
n03691459,loudspeaker,electro-acoustic transducer that converts electrical signals into sounds loud enough to be heard at a distance
n03692522,loupe,small magnifying glass (usually set in an eyepiece) used by jewelers and horologists
n03697007,lumbermill,a mill for dressing logs and lumber
n03706229,magnetic_compass,compass based on an indicator (as a magnetic needle) that points to the magnetic north
n03709823,mailbag,letter carrier's shoulder bag
n03710193,mailbox,a private box for delivery of mail
n03710637,maillot,tights for dancers or gymnasts
n03710721,maillot,a woman's one-piece bathing suit
n03717622,manhole_cover,a flush iron cover for a manhole (as in a street)
n03720891,maraca,a percussion instrument consisting of a hollow gourd containing pebbles or beans; often played in pairs
n03721384,marimba,a percussion instrument with wooden bars tuned to produce a chromatic scale and with resonators; played with small mallets
n03724870,mask,a covering to disguise or conceal the face
n03729826,matchstick,a short thin stick of wood used in making matches
n03733131,maypole,a vertical pole or post decorated with streamers that can be held by dancers celebrating May Day
n03733281,maze,complex system of paths or tunnels in which it is easy to get lost
n03733805,measuring_cup,graduated cup used to measure liquid or granular ingredients
n03742115,medicine_chest,cabinet that holds medicines and toiletries
n03743016,megalith,memorial consisting of a very large stone forming part of a prehistoric structure (especially in western Europe)
n03759954,microphone,device for converting sound waves into electrical energy
n03761084,microwave,kitchen appliance that cooks food by passing an electromagnetic wave through it; heat results from the absorption of energy by the water molecules in the food
n03763968,military_uniform,prescribed identifying uniform for soldiers
n03764736,milk_can,large can for transporting milk
n03769881,minibus,a light bus (4 to 10 passengers)
n03770439,miniskirt,a very short skirt
n03770679,minivan,a small box-shaped passenger van; usually has removable seats; used as a family car
n03773504,missile,a rocket carrying a warhead of conventional or nuclear explosives; may be ballistic or directed by remote control
n03775071,mitten,glove that encases the thumb separately and the other four fingers together
n03775546,mixing_bowl,bowl used with an electric mixer
n03776460,mobile_home,a large house trailer that can be connected to utilities and can be parked in one place and used as permanent housing
n03777568,model_t,the first widely available automobile powered by a gasoline engine; mass-produced by Henry Ford from 1908 to 1927
n03777754,modem,(from a combination of MOdulate and DEModulate) electronic equipment consisting of a device used to connect computers by a telephone line
n03781244,monastery,the residence of a religious community
n03782006,monitor,electronic equipment that is used to check the quality or content of electronic transmissions
n03785016,moped,a motorbike that can be pedaled or driven by a low-powered gasoline engine
n03786901,mortar,a bowl-shaped vessel in which substances can be ground and mixed with a pestle
n03787032,mortarboard,an academic cap with a flat square with a tassel on top
n03788195,mosque,(Islam) a Muslim place of worship that usually has a minaret
n03788365,mosquito_net,a fine net or screen (especially around beds) to protect against mosquitos
n03791053,motor_scooter,a wheeled vehicle with small wheels and a low-powered gasoline engine geared to the rear wheel
n03792782,mountain_bike,a bicycle with a sturdy frame and fat tires; originally designed for riding in mountainous country
n03792972,mountain_tent,a lightweight tent with a floor; flaps close with a zipper
n03793489,mouse,a hand-operated electronic device that controls the coordinates of a cursor on your computer screen as you move it around on a pad; on the bottom of the device is a ball that rolls on the surface of the pad
n03794056,mousetrap,a trap for catching mice
n03796401,moving_van,a van used for moving home or office furniture
n03803284,muzzle,a leather or wire restraint that fits over an animal's snout (especially a dog's nose and jaws) and prevents it from eating or biting
n03804744,nail,a thin pointed piece of metal that is hammered into materials as a fastener
n03814639,neck_brace,a brace worn to steady the neck
n03814906,necklace,jewelry consisting of a cord or chain (often bearing gems) worn about the neck as an ornament (especially by women)
n03825788,nipple,a flexible cap on a baby's feeding bottle or pacifier
n03832673,notebook,a small compact portable computer
n03837869,obelisk,a stone pillar having a rectangular cross section tapering towards a pyramidal top
n03838899,oboe,a slender double-reed instrument; a woodwind with a conical bore and a double-reed mouthpiece
n03840681,ocarina,egg-shaped terra cotta wind instrument with a mouthpiece and finger holes
n03841143,odometer,a meter that shows mileage traversed
n03843555,oil_filter,a filter that removes impurities from the oil used to lubricate an internal-combustion engine
n03854065,organ,wind instrument whose sound is produced by means of pipes arranged in sets supplied with air from a bellows and controlled from a large complex musical keyboard
n03857828,oscilloscope,electronic equipment that provides visual images of varying electrical quantities
n03866082,overskirt,an outer skirt worn over another skirt
n03868242,oxcart,a cart that is drawn by an ox
n03868863,oxygen_mask,a breathing device that is placed over the mouth and nose; supplies oxygen from an attached storage tank
n03871628,packet,a small package or bundle
n03873416,paddle,a short light oar used without an oarlock to propel a canoe or small boat
n03874293,paddlewheel,a large wheel fitted with paddles and driven by an engine in order to propel a boat
n03874599,padlock,a detachable lock; has a hinged shackle that can be passed through the staple of a hasp or the links in a chain and then snapped shut
n03876231,paintbrush,a brush used as an applicator (to apply paint)
n03877472,pajama,(usually plural) loose-fitting nightclothes worn for sleeping or lounging; have a jacket top and trousers
n03877845,palace,official residence of an exalted person (as a sovereign)
n03884397,panpipe,a primitive wind instrument consisting of several parallel pipes bound together
n03887697,paper_towel,a disposable towel made of absorbent paper
n03888257,parachute,rescue equipment consisting of a device that fills with air and retards your fall
n03888605,parallel_bars,gymnastic apparatus consisting of two parallel wooden rods supported on uprights
n03891251,park_bench,a bench in a public park
n03891332,parking_meter,a coin-operated timer located next to a parking space; depositing money into it entitles you to park your car there for a specified length of time
n03895866,passenger_car,a railcar where passengers ride
n03899768,patio,usually paved outdoor area adjoining a residence
n03902125,pay-phone,a coin-operated telephone
n03903868,pedestal,an architectural support or base (as for a column or statue)
n03908618,pencil_box,a box for holding pencils
n03908714,pencil_sharpener,a rotary implement for sharpening the point on pencils
n03916031,perfume,a toiletry that emits and diffuses a fragrant odor
n03920288,petri_dish,a shallow dish used to culture bacteria
n03924679,photocopier,a copier that uses photographic methods of making copies
n03929660,pick,a small thin device (of metal or plastic or ivory) used to pluck a stringed instrument
n03929855,pickelhaube,a spiked helmet worn by German soldiers
n03930313,picket_fence,a fence made of upright pickets
n03930630,pickup,a light truck with an open body and low sides and a tailboard
n03933933,pier,a support for two adjacent bridge spans
n03935335,piggy_bank,a child's coin bank (often shaped like a pig)
n03937543,pill_bottle,a small bottle for holding pills
n03938244,pillow,a cushion to support the head of a sleeping person
n03942813,ping-pong_ball,light hollow ball used in playing table tennis
n03944341,pinwheel,a wheel that has numerous pins that are set at right angles to its rim
n03947888,pirate,a ship that is manned by pirates
n03950228,pitcher,an open vessel with a handle and a spout for pouring
n03954731,plane,a carpenter's hand tool with an adjustable blade for smoothing or shaping wood
n03956157,planetarium,a building housing an instrument for projecting the positions of the planets onto a domed ceiling
n03958227,plastic_bag,a bag made of thin plastic material
n03961711,plate_rack,a rack for holding plates to dry after they have been washed
n03967562,plow,a farm tool having one or more heavy blades to break the soil and cut a furrow prior to sowing
n03970156,plunger,hand tool consisting of a stick with a rubber suction cup at one end; used to clean clogged drains
n03976467,polaroid_camera,a camera that develops and produces a positive print within seconds
n03976657,pole,a long (usually round) rod of wood or metal or plastic
n03977966,police_van,van used by police to transport prisoners
n03980874,poncho,a blanket-like cloak with a hole in the center for the head
n03982430,pool_table,game equipment consisting of a heavy table on which pool is played
n03983396,pop_bottle,a bottle for holding soft drinks
n03991062,pot,a container in which plants are cultivated
n03992509,potter's_wheel,a horizontal rotating wheel holding the clay being shaped by a potter
n03995372,power_drill,a power tool for drilling holes into hard materials
n03998194,prayer_rug,a small rug used by Muslims during their devotions
n04004767,printer,(computer science) an output device that prints the results of data processing
n04005630,prison,a correctional institution where persons are confined while on trial or for punishment
n04008634,projectile,a weapon that is forcibly thrown or projected at a targets but is not self-propelled
n04009552,projector,an optical instrument that projects an enlarged image onto a screen
n04019541,puck,a vulcanized rubber disk 3 inches in diameter that is used instead of a ball in ice hockey
n04023962,punching_bag,an inflated ball or bag that is suspended and punched for training in boxing
n04026417,purse,a small bag for carrying money
n04033901,quill,pen made from a bird's feather
n04033995,quilt,bedding made of two layers of cloth filled with stuffing and stitched together
n04037443,racer,a fast car that competes in races
n04039381,racket,a sports implement (usually consisting of a handle and an oval frame with a tightly interlaced network of strings) used to strike a ball (or shuttlecock) in various games
n04040759,radiator,a mechanism consisting of a metal honeycomb through which hot fluids circulate; heat is transferred from the fluid through the honeycomb to the airstream that is created either by the motion of the vehicle or by a fan
n04041544,radio,a communication system based on broadcasting electromagnetic waves
n04044716,radio_telescope,astronomical telescope that picks up electromagnetic radiations in the radio-frequency range from extraterrestrial sources
n04049303,rain_barrel,a barrel used as a cistern to hold rainwater
n04065272,recreational_vehicle,a motorized wheeled vehicle used for camping or other recreational activities
n04067472,reel,winder consisting of a revolving spool with a handle; attached to a fishing rod
n04069434,reflex_camera,camera that allows the photographer to view and focus the exact scene being photographed
n04070727,refrigerator,white goods in which food can be stored at low temperatures
n04074963,remote_control,a device that can be used to control a machine or apparatus from a distance
n04081281,restaurant,a building where people go to eat
n04086273,revolver,a pistol with a revolving cylinder (usually having six chambers for bullets)
n04090263,rifle,a shoulder firearm with a long barrel and a rifled bore
n04099969,rocking_chair,a chair mounted on rockers
n04111531,rotisserie,an oven or broiler equipped with a rotating spit on which meat cooks as it turns
n04116512,rubber_eraser,an eraser made of rubber (or of a synthetic material with properties similar to rubber); commonly mounted at one end of a pencil
n04118538,rugby_ball,inflated oval ball used in playing rugby
n04118776,rule,measuring stick consisting of a strip of wood or metal or plastic with a straight edge that is used for drawing straight lines and measuring lengths
n04120489,running_shoe,a light comfortable shoe designed for running
n04125021,safe,strongbox where valuables can be safely kept
n04127249,safety_pin,a pin in the form of a clasp; has a guard so the point of the pin will not stick the user
n04131690,saltshaker,a shaker with a perforated top for sprinkling salt
n04133789,sandal,a shoe consisting of a sole fastened by straps to the foot
n04136333,sarong,a loose skirt consisting of brightly colored fabric wrapped around the body; worn by both women and men in the South Pacific
n04141076,sax,a single-reed woodwind with a conical bore
n04141327,scabbard,a sheath for a sword or dagger or bayonet
n04141975,scale,a measuring instrument for weighing; shows amount of mass
n04146614,school_bus,a bus used to transport children to or from school
n04147183,schooner,sailing vessel used in former times
n04149813,scoreboard,a large board for displaying the score of a contest (and some other information)
n04152593,screen,the display that is electronically created on the surface of the large end of a cathode-ray tube
n04153751,screw,a fastener with a tapered threaded shank and a slotted head
n04154565,screwdriver,a hand tool for driving screws; has a tip that fits into the head of a screw
n04162706,seat_belt,a safety belt used in a car or plane to hold you in your seat in case of an accident
n04179913,sewing_machine,a textile machine used as a home appliance for sewing
n04192698,shield,armor carried on the arm to intercept blows
n04200800,shoe_shop,a shop where shoes are sold
n04201297,shoji,a translucent screen made of a wooden frame covered with rice paper
n04204238,shopping_basket,a handbasket used to carry goods while shopping
n04204347,shopping_cart,a handcart that holds groceries or other goods while shopping
n04208210,shovel,a hand tool for lifting loose material; consists of a curved container or scoop and a handle
n04209133,shower_cap,a tight cap worn to keep hair dry while showering
n04209239,shower_curtain,a curtain that keeps water from splashing out of the shower area
n04228054,ski,narrow wood or metal or plastic runners used in pairs for gliding over snow
n04229816,ski_mask,a woolen face mask to protect the face from cold while skiing on snow
n04235860,sleeping_bag,large padded bag designed to be slept in outdoors; usually rolls up like a bedroll
n04238763,slide_rule,analog computer consisting of a handheld instrument used for rapid calculations; have been replaced by pocket calculators
n04239074,sliding_door,a door that opens by sliding instead of swinging
n04243546,slot,a slot machine that is used for gambling
